"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2023-05-10 12:59:00","12:59","YMCA","-60.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Income","2023-05-09 18:35:19","18:35","Kimm (Borrow)","1000.00","PHP","1.0000000000","Allowance","Allowance","GCash","","","Reconciled"
"Expense","2023-05-09 12:32:56","12:32","We Deliver","-75.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-05-08 20:58:07","20:58","Juice","-13.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2023-05-08 20:57:56","20:57","Bugong","-105.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-05-08 17:58:29","17:58","Milk powder","-40.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-08 12:27:17","12:27","Bulacan to Elbi","-237.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Income","2023-05-08 12:27:08","12:27","Allowance (Mommy)","200.00","PHP","1.0000000000","Allowance","Allowance","Wallet","","","Reconciled"
"Expense","2023-05-08 12:26:57","12:26","Daddy","-10.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2023-05-06 10:49:23","10:49","Elbi to Bulacan","-225.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-05-05 21:03:46","21:03","Selena's","-115.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-05-05 15:03:26","15:03","Food","-22.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-04 13:48:12","13:48","Gym","-1000.00","PHP","1.0000000000","Personal Care","Health & Fitness","Wallet","","","Reconciled"
"Expense","2023-05-04 13:36:05","13:36","YMCA","-60.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Income","2023-05-03 17:34:13","17:34","Side Hustle","10.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-05-03 15:50:52","15:50","We Deliver","-125.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-05-03 11:49:03","11:49","Star Grocery","-340.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-02 19:35:49","19:35","Vitamilk","-28.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-05-02 19:30:45","19:30","Bugong","-105.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-05-02 18:49:31","18:49","ATM Fee","-16.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Transfer","2023-05-02 18:49:16","18:49","Union Bank to Cash","-1900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Transfer","2023-05-02 18:49:16","18:49","Union Bank to Cash","1900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Expense","2023-05-02 18:49:06","18:49","Instapay","-15.00","PHP","1.0000000000","Bills","Transaction Fees","GCash","","","Reconciled"
"Transfer","2023-05-02 18:48:47","18:48","Gcash to Union Bank","-1910.00","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Transfer","2023-05-02 18:48:47","18:48","Gcash to Union Bank","1910.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2023-05-02 12:59:41","12:59","YMCA","-69.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-05-01 18:58:14","18:58","Bulacan to Elbi","-246.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Income","2023-05-01 18:57:47","18:57","Side Hustle B","500.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-04-30 19:01:15","19:01","Daddy","-20.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2023-04-29 08:00:09","08:00","Elbi to Bulacan","-226.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-04-28 21:20:09","21:20","Cake","-90.00","PHP","1.0000000000","Leisure","Events","Wallet","","","Reconciled"
"Expense","2023-04-28 21:19:52","21:19","Food Panda","-275.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Income","2023-04-28 21:06:31","21:06","Side Hustle B","500.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-04-28 19:03:59","19:03","Food","-93.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-27 19:36:37","19:36","Fruits","-60.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-27 19:36:24","19:36","Star Grocery","-183.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-27 12:37:11","12:37","YMCA","-55.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-26 18:54:30","18:54","Food","-23.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-26 12:54:22","12:54","YMCA","-60.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-26 09:13:40","09:13","YMCA","-102.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-25 18:13:01","18:13","YMCA","-94.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-25 09:16:00","09:16","Daddy","-6.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2023-04-25 09:11:52","09:11","Bulacan to Elbi","-243.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-04-24 12:25:44","12:25","Gym","-50.00","PHP","1.0000000000","Personal Care","Health & Fitness","GCash","","","Reconciled"
"Transfer","2023-04-24 11:42:15","11:42","Seabank to Cash","-1600.00","PHP","1.0000000000","(Transfer)","(Transfer)","Seabank","","","Reconciled"
"Transfer","2023-04-24 11:42:15","11:42","Seabank to Cash","1600.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Expense","2023-04-24 11:41:58","11:41","Chicken Breast","-140.00","PHP","1.0000000000","Food","Food & Drinks","Seabank","","","Reconciled"
"Expense","2023-04-24 09:18:06","09:18","Delight","-26.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Income","2023-04-24 09:17:55","09:17","Side Hustle","100.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-04-23 11:46:52","11:46","Gym","-50.00","PHP","1.0000000000","Personal Care","Health & Fitness","Wallet","","","Reconciled"
"Expense","2023-04-22 11:46:44","11:46","Gym","-50.00","PHP","1.0000000000","Personal Care","Health & Fitness","Wallet","","","Reconciled"
"Expense","2023-04-22 10:52:54","10:52","Daddy","-20.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2023-04-21 16:35:10","16:35","Elbi to Bulacan","-225.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-04-21 11:35:00","11:35","YMCA","-60.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-20 21:52:38","21:52","Ministop","-124.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-04-20 17:52:56","17:52","Soap","-70.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Expense","2023-04-20 17:46:32","17:46","Laundry","-180.00","PHP","1.0000000000","Personal Care","Laundry ","GCash","","","Reconciled"
"Expense","2023-04-20 12:23:34","12:23","YMCA","-61.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Income","2023-04-20 11:39:42","11:39","Side Hustle","200.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-04-18 20:52:25","20:52","Ministop","-124.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-18 20:52:09","20:52","Bananas","-32.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-18 20:51:58","20:51","Star Grocery","-549.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-18 12:51:23","12:51","YMCA","-108.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-17 13:12:41","13:12","Bulacan to Elbi","-244.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Income","2023-04-17 13:12:32","13:12","Allowance (Mommy)","200.00","PHP","1.0000000000","Allowance","Allowance","Wallet","","","Reconciled"
"Expense","2023-04-14 12:44:16","12:44","Jeep","-12.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-04-14 12:44:07","12:44","Haircut","-60.00","PHP","1.0000000000","Personal Care","Self-Care","Wallet","","","Reconciled"
"Expense","2023-04-13 19:34:53","19:34","Daddy","-10.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Expense","2023-04-13 12:48:21","12:48","Water","-10.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-13 12:34:42","12:34","Jeep","-12.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-04-10 19:20:46","19:20","Gym","-200.00","PHP","1.0000000000","Personal Care","Health & Fitness","GCash","","","Reconciled"
"Income","2023-04-09 13:38:29","13:38","Side Hustle","200.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Income","2023-04-08 21:11:08","21:11","Tita Emily","305.00","PHP","1.0000000000","Allowance","Tip","Wallet","","","Reconciled"
"Expense","2023-04-07 20:30:03","20:30","Daddy","-10.00","PHP","1.0000000000","Leisure","Gifts/Treats","Wallet","","","Reconciled"
"Income","2023-04-07 11:04:46","11:04","Side Hustle","200.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Income","2023-04-06 19:10:54","19:10","Side Hustle","100.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Income","2023-04-05 10:51:25","10:51","Side Hustle","350.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-04-05 10:51:01","10:51","Elbi to Bulacan","-201.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-04-04 13:29:37","13:29","YMCA","-88.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-03 20:35:07","20:35","YMCA","-50.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Expense","2023-04-03 19:04:07","19:04","Bananas","-30.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-03 19:01:13","19:01","Vitamilk","-56.00","PHP","1.0000000000","Food","Food & Drinks","GCash","","","Reconciled"
"Expense","2023-04-03 19:00:57","19:00","Toothbrush, Floss","-167.00","PHP","1.0000000000","Personal Care","Self-Care","GCash","","","Reconciled"
"Income","2023-04-03 12:17:12","12:17","Side Hustle","150.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-04-03 07:57:50","07:57","Food and Drinks","250.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Expense","2023-04-02 19:01:31","19:01","Star Grocery","-253.00","PHP","1.0000000000","Food","Food & Drinks","Wallet","","","Reconciled"
"Income","2023-04-02 18:43:32","18:43","Side Hustle","100.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
"Expense","2023-04-02 18:40:48","18:40","Le Katsu","-139.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-04-02 15:40:31","15:40","Cubao to Elbi","-132.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-04-02 13:11:29","13:11","MRT","-30.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Transfer","2023-04-02 13:10:53","13:10","Cash to Gcash","-300.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Transfer","2023-04-02 13:10:53","13:10","Cash to Gcash","300.00","PHP","1.0000000000","(Transfer)","(Transfer)","GCash","","","Reconciled"
"Expense","2023-04-02 13:10:47","13:10","ATM Fee","-18.00","PHP","1.0000000000","Bills","Transaction Fees","Union Bank","","","Reconciled"
"Transfer","2023-04-02 13:10:39","13:10","Union Bank to Cash","-1900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Transfer","2023-04-02 13:10:39","13:10","Union Bank to Cash","1900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Wallet","","","Reconciled"
"Transfer","2023-04-02 13:10:27","13:10","Seabank to Union Bank","-1900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Seabank","","","Reconciled"
"Transfer","2023-04-02 13:10:27","13:10","Seabank to Union Bank","1900.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2023-04-02 13:10:19","13:10","Food","-78.00","PHP","1.0000000000","Leisure","Staycation ","Wallet","","","Reconciled"
"Expense","2023-04-01 23:44:33","23:44","Food","-105.00","PHP","1.0000000000","Leisure","Staycation ","Wallet","","","Reconciled"
"Expense","2023-04-01 18:42:49","18:42","Burger King","230.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-04-01 16:35:44","16:35","Coco Milk Tea","-110.00","PHP","1.0000000000","Leisure","Staycation ","Wallet","","","Reconciled"
"Expense","2023-04-01 15:51:44","15:51","Burger King","-439.00","PHP","1.0000000000","Food","Dine Out","GCash","","","Reconciled"
"Expense","2023-04-01 13:43:52","13:43","Airbnb","-1099.00","PHP","1.0000000000","Leisure","Staycation ","Union Bank","","","Reconciled"
"Transfer","2023-04-01 13:43:01","13:43","Seabank to Union Bank","-100.00","PHP","1.0000000000","(Transfer)","(Transfer)","Seabank","","","Reconciled"
"Transfer","2023-04-01 13:43:01","13:43","Seabank to Union Bank","100.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2023-04-01 13:43:00","13:43","Food","-112.00","PHP","1.0000000000","Leisure","Staycation ","Wallet","","","Reconciled"
"Expense","2023-03-31 17:42:24","17:42","Elbi to Airbnb","-231.00","PHP","1.0000000000","Transportation","Transportation ","Wallet","","","Reconciled"
"Expense","2023-03-31 14:37:34","14:37","Airbnb","-999.00","PHP","1.0000000000","Leisure","Staycation ","Union Bank","","","Reconciled"
"Expense","2023-03-31 14:36:38","14:36","Airbnb","568.00","PHP","1.0000000000","Leisure","Staycation ","GCash","","","Reconciled"
"Transfer","2023-03-31 12:45:59","12:45","Seabank to Union Bank","-2000.00","PHP","1.0000000000","(Transfer)","(Transfer)","Seabank","","","Reconciled"
"Transfer","2023-03-31 12:45:59","12:45","Seabank to Union Bank","2000.00","PHP","1.0000000000","(Transfer)","(Transfer)","Union Bank","","","Reconciled"
"Expense","2023-03-31 12:45:44","12:45","Print","-1.00","PHP","1.0000000000","Education","School Expenses","Wallet","","","Reconciled"
"Expense","2023-03-31 12:45:35","12:45","Ministop","-58.00","PHP","1.0000000000","Food","Dine Out","Wallet","","","Reconciled"
"Income","2023-03-31 12:45:25","12:45","Side Hustle","150.00","PHP","1.0000000000","Others","Others","GCash","","","Reconciled"
